Latitude,Longitude
29.99111176,31.32104874
29.99112128,31.32094384
29.99112512,31.32079316
29.99113848,31.32060624
29.99114992,31.32039260
29.99119184,31.32016182
29.99124912,31.31988526
29.99129680,31.31962014
29.99133112,31.31939126
29.99135784,31.31925202
29.99138256,31.31907082
29.99141696,31.31879426
29.99147416,31.31848336
29.99151232,31.31819726
29.99155424,31.31793212
29.99157712,31.31768798
29.99161528,31.31740760
29.99165920,31.31710624
29.99172208,31.31681442
29.99174496,31.31663894
29.99176024,31.31649208
29.99179648,31.31623840
29.99184608,31.31591988
29.99189760,31.31556510
29.99193576,31.31522750
29.99198720,31.31490326
29.99205400,31.31458854
29.99209784,31.31431580
29.99212648,31.31405448
29.99215888,31.31381988
29.99219896,31.31361580
29.99222752,31.31338310
29.99227336,31.31311988
29.99234008,31.31282044
29.99238968,31.31251336
29.99244496,31.31220818
29.99249264,31.31189346
29.99254992,31.31157112
29.99258992,31.31128884
29.99260904,31.31104660
29.99264720,31.31080818
29.99268344,31.31058312
29.99272728,31.31034470
29.99276544,31.31005860
29.99276160,31.30973816
29.99267576,31.30943870
29.99260712,31.30917550
29.99251368,31.30890846
29.99243544,31.30866050
29.99243168,31.30846978
29.99259760,31.30838966
29.99276160,31.30837632
29.99287032,31.30831910
29.99299432,31.30824280
29.99318120,31.30815696
29.99339104,31.30812644
29.99364280,31.30810738
29.99382400,31.30811310
29.99398616,31.30810738
29.99419024,31.30811692
29.99436184,31.30807114
